Abbr | NLP | Start | | | End | |
ANJO | 31 | 2 | Jan | 1798 | 30 | Dec | 1799
ANJO | 31 | 1 | Jan | 1800 | 23 | Aug | 1876
ANJO | 32 | 30 | Aug | 1876 | 31 | Dec | 1900
BNER | 36 | 4 | Mar | 1857 | 28 | Sep | 1859
BNER | 37 | 5 | Oct | 1859 | 29 | Dec | 1900
BHCH |220 | 25 | Dec. | 1760 | 19 | Nov. | 1761
BHCH |211 | 20 | Nov | 1761 | 9 | Feb | 1764
BHCH |555 | 16 | Feb | 1764 | 31 | Dec | 1767
BHCH |195 | 18 | Aug | 1768 | 12 | Sept | 1768
BHCH |219 | 29 | Sept | 1768 | 18 | Jan | 1770
BHCH |219 | 25 | Jan | 1770 | 6 | Sept | 1770
BHCH |187 | 13 | Sept | 1770 | 27 | Dec | 1900
BNWL | 38 | 1 | Jan | 1828 | 31 | Dec | 1900
BDPO | 33 | 4 | Dec | 1857 | 29 | Sep | 1900
BLSD | 151 | 21 | Jan | 1835 | 30 | Dec | 1876
BLSD | 152 | 6 | Jan | 1877 | 29 | Sept | 1888
BLSD | 153 | 6 | Oct | 1888 | 2 | Sept | 1893
BLSD | 154 | 9 | Sept | 1893 | 29 | Dec | 1900
BROR | 155 | 6 | Feb | 1834 | 31 | Dec | 1835
BRPT | 39 | 24 | Feb | 1835 | 28 | Jun | 1836
BRPT | 40 | 5 | Jul | 1836 | 13 | Aug | 1839
BLMY | 34 | 4 | Jan | 1819 | 26 | Jan | 1878
BLMY | 35 | 28 | Jan | 1878 | 31 | Dec | 1900
BNPT | 156 | 7 | Jan | 1801 | 25 | Dec | 1900
CNMR | 45 | 1 | Jan | 1800 | 27 | Aug | 1859
CNMR | 46 | 29 | Aug | 1859 | 21 | Feb | 1860
CNMR | 47 | 22 | Feb | 1860 | 20 | Apr | 1867
CNMR | 45 | 28 | Apr | 1720 | 28 | Dec | 1799
CHPN | 41 | 18 | Sep | 1836 | 14 | Nov | 1836
CHPN | 42 | 20 | Nov | 1836 | 26 | Apr | 1840
CHTR | 43 | 27 | Jan | 1839 | 15 | Mar | 1840
CHTT | 44 | 2 | Feb | 1839 | 7 | Jul | 1839
CTCR | 48 | 16 | Aug | 1839 | 16 | Aug | 1839
CTCR | 48 | 28 | Sep | 1839 | 18 | Sep | 1841
CHOR | 158 | 15 | May | 1854 | 27 | Jun | 1863
CHOR | 485 | 4 | July | 1863 | 28 | Jan | 1871
CHOR | 157 | 4 | Feb | 1871 | 29 | Dec | 1900
CWPR | 49 | 1 | Jan | 1802 | 3 | Mar | 1804
CWPR | 50 | 17 | Mar | 1804 | 17 | Sep | 1836
DGMH | 159 | 11 | Jun | 1881 | 28 | Dec | 1900
DGMH | 486 | 18 | Jun | 1870 | 6 | Dec | 1872
DGMH | 487 | 7 | Dec | 1872 | 10 | Jun | 1881
DNLN | 51 | 21 | Jan | 1846 | 31 | Dec | 1900
DYMR | 52 | 2 | Jan | 1800 | 31 | Dec | 1900
DYMR | 189 | 30 | Mar | 1732 | 4 | Oct | 1787
DYMR | 52 | 25 | Dec | 1788 | 26 | Dec | 1900
DUCR | 160 | 2 | Jan | 1844 | 19 | Apr | 1861
DUCR | 161 | 22 | Apr | 1861 | 14 | Apr | 1862
DUCR | 162 | 15 | Apr | 1862 | 27 | Feb | 1873
